"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
288,10/28/15 10:00:00 AM,9.472,118.4,
289,10/28/15 01:00:00 PM,9.965,53.8,
290,10/28/15 04:00:00 PM,9.669,53.8,
291,10/28/15 07:00:00 PM,9.275,0.0,
292,10/28/15 10:00:00 PM,8.879,0.0,
293,10/29/15 01:00:00 AM,9.077,0.0,
294,10/29/15 04:00:00 AM,9.176,0.0,
295,10/29/15 07:00:00 AM,9.275,0.0,
296,10/29/15 10:00:00 AM,9.571,96.9,
297,10/29/15 01:00:00 PM,10.846,322.9,
298,10/29/15 04:00:00 PM,10.455,21.5,
299,10/29/15 07:00:00 PM,10.357,0.0,
300,10/29/15 10:00:00 PM,10.357,0.0,
301,10/30/15 01:00:00 AM,10.357,0.0,
302,10/30/15 04:00:00 AM,9.472,0.0,
303,10/30/15 07:00:00 AM,8.382,0.0,
304,10/30/15 10:00:00 AM,10.748,43.1,
305,10/30/15 01:00:00 PM,11.916,10.8,
306,10/30/15 04:00:00 PM,11.431,10.8,
307,10/30/15 07:00:00 PM,11.431,0.0,
308,10/30/15 10:00:00 PM,11.139,0.0,
309,10/31/15 01:00:00 AM,11.334,0.0,
310,10/31/15 04:00:00 AM,12.110,0.0,
311,10/31/15 07:00:00 AM,11.528,0.0,
312,10/31/15 10:00:00 AM,11.431,10.8,
313,10/31/15 01:00:00 PM,11.528,21.5,
314,10/31/15 04:00:00 PM,9.472,0.0,
315,10/31/15 07:00:00 PM,8.879,0.0,
316,10/31/15 10:00:00 PM,8.978,0.0,
317,11/01/15 01:00:00 AM,8.581,0.0,
318,11/01/15 04:00:00 AM,8.481,0.0,
319,11/01/15 07:00:00 AM,7.079,0.0,
320,11/01/15 10:00:00 AM,5.962,75.3,
321,11/01/15 01:00:00 PM,7.079,43.1,
322,11/01/15 04:00:00 PM,5.655,32.3,
323,11/01/15 07:00:00 PM,6.064,0.0,
324,11/01/15 10:00:00 PM,5.655,0.0,
325,11/02/15 01:00:00 AM,5.757,0.0,
326,11/02/15 04:00:00 AM,5.860,0.0,
327,11/02/15 07:00:00 AM,5.655,0.0,
328,11/02/15 10:00:00 AM,5.962,269.1,
329,11/02/15 01:00:00 PM,7.079,107.6,
330,11/02/15 04:00:00 PM,6.573,161.5,
331,11/02/15 07:00:00 PM,6.064,0.0,
332,11/02/15 10:00:00 PM,5.860,0.0,
333,11/03/15 01:00:00 AM,5.244,0.0,
334,11/03/15 04:00:00 AM,4.934,0.0,
335,11/03/15 07:00:00 AM,4.311,0.0,
336,11/03/15 10:00:00 AM,4.519,226.0,
337,11/03/15 01:00:00 PM,5.037,247.6,
338,11/03/15 04:00:00 PM,5.244,129.2,
339,11/03/15 07:00:00 PM,4.519,0.0,
340,11/03/15 10:00:00 PM,4.102,0.0,
341,11/04/15 01:00:00 AM,3.049,0.0,
342,11/04/15 04:00:00 AM,2.410,0.0,
343,11/04/15 07:00:00 AM,2.088,0.0,
344,11/04/15 10:00:00 AM,2.303,53.8,
345,11/04/15 01:00:00 PM,4.831,333.7,
346,11/04/15 04:00:00 PM,5.757,139.9,
347,11/04/15 07:00:00 PM,4.831,0.0,
348,11/04/15 10:00:00 PM,4.623,0.0,
349,11/05/15 01:00:00 AM,4.727,0.0,
350,11/05/15 04:00:00 AM,4.934,0.0,
351,11/05/15 07:00:00 AM,4.934,0.0,
352,11/05/15 10:00:00 AM,5.037,32.3,
353,11/05/15 01:00:00 PM,6.166,139.9,
354,11/05/15 04:00:00 PM,6.370,10.8,
355,11/05/15 07:00:00 PM,6.471,0.0,
356,11/05/15 10:00:00 PM,6.573,0.0,
357,11/06/15 01:00:00 AM,6.064,0.0,
358,11/06/15 04:00:00 AM,5.141,0.0,
359,11/06/15 07:00:00 AM,5.655,0.0,
360,11/06/15 10:00:00 AM,6.370,75.3,
361,11/06/15 01:00:00 PM,8.082,344.4,
362,11/06/15 04:00:00 PM,8.978,86.1,
363,11/06/15 07:00:00 PM,8.182,0.0,
364,11/06/15 10:00:00 PM,7.983,0.0,
365,11/07/15 01:00:00 AM,7.682,0.0,
366,11/07/15 04:00:00 AM,7.381,0.0,
367,11/07/15 07:00:00 AM,7.481,0.0,
368,11/07/15 10:00:00 AM,8.382,75.3,
369,11/07/15 01:00:00 PM,8.481,43.1,
370,11/07/15 04:00:00 PM,8.481,10.8,
371,11/07/15 07:00:00 PM,8.382,0.0,
372,11/07/15 10:00:00 PM,8.182,0.0,
373,11/08/15 01:00:00 AM,7.983,0.0,
374,11/08/15 04:00:00 AM,6.573,0.0,
375,11/08/15 07:00:00 AM,6.166,0.0,
376,11/08/15 10:00:00 AM,6.471,269.1,
377,11/08/15 01:00:00 PM,7.179,247.6,
378,11/08/15 04:00:00 PM,7.280,236.8,
379,11/08/15 07:00:00 PM,6.370,0.0,
380,11/08/15 10:00:00 PM,6.064,0.0,
381,11/09/15 01:00:00 AM,5.757,0.0,
382,11/09/15 04:00:00 AM,5.450,0.0,
383,11/09/15 07:00:00 AM,5.347,0.0,
384,11/09/15 10:00:00 AM,5.347,118.4,
385,11/09/15 01:00:00 PM,5.962,452.1,
386,11/09/15 04:00:00 PM,5.757,53.8,
387,11/09/15 07:00:00 PM,5.141,0.0,
388,11/09/15 10:00:00 PM,5.037,0.0,
389,11/10/15 01:00:00 AM,5.037,0.0,
390,11/10/15 04:00:00 AM,4.623,0.0,
391,11/10/15 07:00:00 AM,3.683,0.0,
392,11/10/15 10:00:00 AM,3.788,53.8,
393,11/10/15 01:00:00 PM,4.727,452.1,
394,11/10/15 04:00:00 PM,5.552,107.6,
395,11/10/15 07:00:00 PM,5.141,0.0,
396,11/10/15 10:00:00 PM,4.727,0.0,
397,11/11/15 01:00:00 AM,5.037,0.0,
398,11/11/15 04:00:00 AM,5.347,0.0,
399,11/11/15 07:00:00 AM,4.311,0.0,
400,11/11/15 10:00:00 AM,4.207,64.6,
401,11/11/15 01:00:00 PM,4.415,64.6,
402,11/11/15 04:00:00 PM,4.311,96.9,
403,11/11/15 07:00:00 PM,4.207,0.0,
404,11/11/15 10:00:00 PM,3.998,0.0,
405,11/12/15 01:00:00 AM,3.367,0.0,
406,11/12/15 04:00:00 AM,3.049,0.0,
407,11/12/15 07:00:00 AM,2.517,0.0,
