"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
401,10/28/13 09:00:00 PM,0.784,,
402,10/28/13 11:00:00 PM,0.784,,
403,10/29/13 01:00:00 AM,0.784,,
404,10/29/13 03:00:00 AM,0.784,,
405,10/29/13 05:00:00 AM,0.674,,
406,10/29/13 07:00:00 AM,0.674,,
407,10/29/13 09:00:00 AM,0.563,,
408,10/29/13 11:00:00 AM,0.563,,
409,10/29/13 01:00:00 PM,0.563,,
410,10/29/13 03:00:00 PM,0.563,,
411,10/29/13 05:00:00 PM,0.563,,
412,10/29/13 07:00:00 PM,0.563,,
413,10/29/13 09:00:00 PM,0.563,,
414,10/29/13 11:00:00 PM,0.563,,
415,10/30/13 01:00:00 AM,0.563,,
416,10/30/13 03:00:00 AM,0.453,,
417,10/30/13 05:00:00 AM,0.453,,
418,10/30/13 07:00:00 AM,0.453,,
419,10/30/13 09:00:00 AM,0.453,,
420,10/30/13 11:00:00 AM,0.453,,
421,10/30/13 01:00:00 PM,0.453,,
422,10/30/13 03:00:00 PM,0.453,,
423,10/30/13 05:00:00 PM,0.453,,
424,10/30/13 07:00:00 PM,0.453,,
425,10/30/13 09:00:00 PM,0.453,,
426,10/30/13 11:00:00 PM,0.453,,
427,10/31/13 01:00:00 AM,0.453,,
428,10/31/13 03:00:00 AM,0.453,,
429,10/31/13 05:00:00 AM,0.453,,
430,10/31/13 07:00:00 AM,0.453,,
431,10/31/13 09:00:00 AM,0.453,,
432,10/31/13 11:00:00 AM,0.453,,
433,10/31/13 01:00:00 PM,0.453,,
434,10/31/13 03:00:00 PM,0.453,,
435,10/31/13 05:00:00 PM,0.453,,
436,10/31/13 07:00:00 PM,0.453,,
437,10/31/13 09:00:00 PM,0.453,,
438,10/31/13 11:00:00 PM,0.453,,
439,11/01/13 01:00:00 AM,0.453,,
440,11/01/13 03:00:00 AM,0.563,,
441,11/01/13 05:00:00 AM,0.563,,
442,11/01/13 07:00:00 AM,0.563,,
443,11/01/13 09:00:00 AM,0.563,,
444,11/01/13 11:00:00 AM,0.563,,
445,11/01/13 01:00:00 PM,0.563,,
446,11/01/13 03:00:00 PM,0.674,,
447,11/01/13 05:00:00 PM,0.674,,
448,11/01/13 07:00:00 PM,0.563,,
449,11/01/13 09:00:00 PM,0.563,,
450,11/01/13 11:00:00 PM,0.563,,
451,11/02/13 01:00:00 AM,0.563,,
452,11/02/13 03:00:00 AM,0.563,,
453,11/02/13 05:00:00 AM,0.453,,
454,11/02/13 07:00:00 AM,0.453,,
455,11/02/13 09:00:00 AM,0.453,,
456,11/02/13 11:00:00 AM,0.563,,
457,11/02/13 01:00:00 PM,0.563,,
458,11/02/13 03:00:00 PM,0.563,,
459,11/02/13 05:00:00 PM,0.563,,
460,11/02/13 07:00:00 PM,0.563,,
461,11/02/13 09:00:00 PM,0.563,,
462,11/02/13 11:00:00 PM,0.563,,
463,11/03/13 01:00:00 AM,0.563,,
464,11/03/13 03:00:00 AM,0.563,,
465,11/03/13 05:00:00 AM,0.563,,
466,11/03/13 07:00:00 AM,0.563,,
467,11/03/13 09:00:00 AM,0.563,,
468,11/03/13 11:00:00 AM,0.563,,
469,11/03/13 01:00:00 PM,0.563,,
470,11/03/13 03:00:00 PM,0.563,,
471,11/03/13 05:00:00 PM,0.563,,
472,11/03/13 07:00:00 PM,0.453,,
473,11/03/13 09:00:00 PM,0.453,,
474,11/03/13 11:00:00 PM,0.453,,
475,11/04/13 01:00:00 AM,0.453,,
476,11/04/13 03:00:00 AM,0.453,,
477,11/04/13 05:00:00 AM,0.453,,
478,11/04/13 07:00:00 AM,0.453,,
479,11/04/13 09:00:00 AM,0.453,,
480,11/04/13 11:00:00 AM,0.453,,
481,11/04/13 01:00:00 PM,0.453,,
482,11/04/13 03:00:00 PM,0.453,,
483,11/04/13 05:00:00 PM,0.453,,
484,11/04/13 07:00:00 PM,0.453,,
485,11/04/13 09:00:00 PM,0.453,,
486,11/04/13 11:00:00 PM,0.453,,
487,11/05/13 01:00:00 AM,0.453,,
488,11/05/13 03:00:00 AM,0.453,,
489,11/05/13 05:00:00 AM,0.453,,
490,11/05/13 07:00:00 AM,0.453,,
491,11/05/13 09:00:00 AM,0.453,,
492,11/05/13 11:00:00 AM,0.453,,
493,11/05/13 01:00:00 PM,0.453,,
494,11/05/13 03:00:00 PM,0.453,,
495,11/05/13 05:00:00 PM,0.453,,
496,11/05/13 07:00:00 PM,0.453,,
497,11/05/13 09:00:00 PM,0.453,,
498,11/05/13 11:00:00 PM,0.453,,
499,11/06/13 01:00:00 AM,0.453,,
500,11/06/13 03:00:00 AM,0.563,,
501,11/06/13 05:00:00 AM,0.563,,
502,11/06/13 07:00:00 AM,0.563,,
503,11/06/13 09:00:00 AM,0.563,,
504,11/06/13 11:00:00 AM,0.563,,
505,11/06/13 01:00:00 PM,0.563,,
506,11/06/13 03:00:00 PM,0.563,,
507,11/06/13 05:00:00 PM,0.563,,
508,11/06/13 07:00:00 PM,0.563,,
509,11/06/13 09:00:00 PM,0.563,,
510,11/06/13 11:00:00 PM,0.563,,
511,11/07/13 01:00:00 AM,0.563,,
512,11/07/13 03:00:00 AM,0.563,,
513,11/07/13 05:00:00 AM,0.563,,
514,11/07/13 07:00:00 AM,0.563,,
515,11/07/13 09:00:00 AM,0.563,Logged,
516,11/07/13 11:00:00 AM,0.563,,
517,11/07/13 01:00:00 PM,0.563,,Logged
